name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,latitude,longitude,severity_score,year_valid,decade,century,mass_category,fall_found_flag,hemisphere_ns,hemisphere_ew,location_quality
grove mountains 052786,50460,valid,l6,67.46,found,2006.0,-72.77528,75.33861,"-72.77528, 75.33861",-72.77528,75.33861,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052788,50461,valid,l6,66.47,found,2006.0,-72.77528,75.33861,"-72.77528, 75.33861",-72.77528,75.33861,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052792,50462,valid,l5,50.61,found,2006.0,-72.77528,75.33861,"-72.77528, 75.33861",-72.77528,75.33861,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052793,48365,valid,l5,31.44,found,2006.0,-72.775278,75.338611,"-72.775278, 75.338611",-72.775278,75.338611,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052796,46986,valid,h4,0.77,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052797,46987,valid,l5,1.64,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052799,46485,valid,h6,5.58,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052800,48366,valid,h5,2.44,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052802,50463,valid,h4,1.41,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052820,48367,valid,h4,1.46,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
